                                                file_size  title_chars  encrypted  metadata_size  page_count  valid_pdf_header  image_count  text_length  object_count  font_object_count  stream_count  endstream_count  average_stream_size  entropy_of_streams  name_obfuscations  total_filters  nested_filter_objects  objstm_count  js_count  javascript_count  uri_count  uses_nonstandard_port  action_count  aa_count  openaction_count  launch_count  acroform_count  xfa_count  colors_count  richmedia_count  has_multiple_behavioral_keywords_in_one_object  used_ocr     label  title_entropy
objstm_count                                     0.071049     0.191406  -0.002189       0.408424    0.123406          0.232520     0.089458     0.068295      0.054787           0.225826      0.451392         0.451406            -0.047232            0.206319           0.021586       0.413623              -0.019576      1.000000 -0.011282         -0.017955   0.001025              -0.019254     -0.007245  0.007479         -0.080194     -0.004043        0.515686  -0.062672      0.072400        -0.004313                                       -0.015138 -0.128043 -0.296246      -0.143773
js_count                                         0.064483     0.049574   0.040485       0.044998    0.001075          0.053589     0.007436    -0.003339      0.009148           0.006672      0.029324         0.029321             0.017537            0.039916           0.019758       0.019386               0.001348     -0.011282  1.000000          0.994013   0.000740               0.009739      0.009224  0.388598          0.061418      0.000634        0.065792  -0.011320     -0.002341         0.001535                                        0.993781  0.053073  0.010424       0.010274
javascript_count                                 0.047239     0.068379   0.035573       0.054525   -0.006587          0.069337     0.001683    -0.008921      0.015451           0.000287      0.026389         0.026388             0.011069            0.050349           0.017234       0.013578               0.000949     -0.017955  0.994013          1.000000  -0.000449               0.008503      0.008631  0.389016          0.091107      0.001886        0.077615  -0.014560     -0.005779         0.002904                                        0.995015  0.076448  0.027905       0.022855
uri_count                                        0.073088     0.026068   0.027446       0.039793    0.180196          0.025436     0.033206     0.076117      0.015517           0.045326      0.087726         0.087707             0.003246            0.030452           0.010128       0.117252              -0.001051      0.001025  0.000740         -0.000449   1.000000               0.101483      0.067066  0.003856          0.008792      0.000781       -0.003968  -0.006937     -0.001282        -0.000534                                        0.000480 -0.014673 -0.032149       0.008532
uses_nonstandard_port                           -0.004835     0.008129  -0.004398       0.066790    0.005466          0.053010    -0.007179    -0.008315     -0.002250          -0.009007     -0.012226        -0.012226             0.009885            0.052633          -0.003994      -0.011175              -0.004463     -0.019254  0.009739          0.008503   0.101483               1.000000      0.000836  0.000290         -0.019818     -0.000988       -0.022517  -0.014527     -0.004693        -0.001112                                        0.001122  0.008123 -0.064284       0.038904
action_count                                     0.103107     0.050100  -0.002307       0.039560    0.035898          0.034202     0.007474     0.041422      0.004044           0.022225      0.017630         0.017632             0.045172            0.032794           0.028010       0.021673              -0.002256     -0.007245  0.009224          0.008631   0.067066               0.000836      1.000000  0.015349          0.063764      0.011496       -0.004087  -0.009045     -0.002698         0.004526                                        0.009015  0.017895 -0.011451       0.020420
aa_count                                         0.048899     0.037216   0.013738       0.064888    0.017122          0.042138     0.014462     0.022277      0.002785           0.039266      0.117664         0.117671             0.001300            0.025284           0.013658       0.048474              -0.002035      0.007479  0.388598          0.389016   0.003856               0.000290      0.015349  1.000000          0.004943      0.002083        0.077389  -0.011488      0.008985        -0.000884                                        0.388082 -0.016982 -0.049561      -0.043599
openaction_count                                 0.035050     0.187228   0.051217       0.117412    0.074347          0.237443    -0.024990     0.010622      0.082462           0.004230     -0.022298        -0.022335             0.129648            0.240577           0.094760      -0.022045              -0.000719     -0.080194  0.061418          0.091107   0.008792              -0.019818      0.063764  0.004943          1.000000      0.208356       -0.052408  -0.062634     -0.018450         0.020986                                        0.085378  0.118792  0.034316       0.024464
launch_count                                     0.002077     0.026961  -0.000982       0.007212    0.014552          0.011836    -0.002110     0.010105     -0.000191           0.002369      0.001161         0.001161             0.007856            0.012045          -0.001033       0.001538              -0.000996     -0.004043  0.000634          0.001886   0.000781              -0.000988      0.011496  0.002083          0.208356      1.000000       -0.006996  -0.003244     -0.001048        -0.000248                                        0.002216  0.008682 -0.002584       0.007590
acroform_count                                   0.071591     0.182519   0.009391       0.442254   -0.008656          0.375393     0.041049     0.023230      0.022640           0.180501      0.338210         0.338204            -0.043155            0.295220           0.036555       0.290090              -0.027265      0.515686  0.065792          0.077615  -0.003968              -0.022517     -0.004087  0.077389         -0.052408     -0.006996        1.000000   0.252497      0.034193         0.000475                                        0.061261  0.020262 -0.242810      -0.139363
xfa_count                                       -0.027478    -0.081270  -0.007053      -0.032594   -0.048094          0.174047    -0.031346    -0.020558     -0.010630          -0.064414     -0.025129        -0.025132            -0.030994            0.132578          -0.016063      -0.023959              -0.014653     -0.062672 -0.011320         -0.014560  -0.006937              -0.014527     -0.009045 -0.011488         -0.062634     -0.003244        0.252497   1.000000     -0.015409         0.020696                                       -0.012299 -0.094882  0.207667       0.157718
colors_count                                     0.049583     0.014654  -0.003601       0.030039    0.034294          0.056229     0.149774     0.010800      0.003929           0.022922      0.053697         0.053702             0.002911            0.053039           0.003395       0.075035              -0.004707      0.072400 -0.002341         -0.005779  -0.001282              -0.004693     -0.002698  0.008985         -0.018450     -0.001048        0.034193  -0.015409      1.000000        -0.001180                                       -0.004092  0.084245 -0.072190      -0.022798
richmedia_count                                  0.001704     0.007514  -0.001105      -0.008495   -0.003762          0.013323    -0.002269    -0.003862     -0.000814          -0.003984     -0.003298        -0.003297             0.027436            0.010347          -0.000572      -0.003841              -0.001122     -0.004313  0.001535          0.002904  -0.000534              -0.001112      0.004526 -0.000884          0.020986     -0.000248        0.000475   0.020696     -0.001180         1.000000                                        0.001473  0.036056  0.016120       0.010128
has_multiple_behavioral_keywords_in_one_object   0.053241     0.049901   0.039750       0.045247   -0.002725          0.057230     0.004230    -0.005683      0.015867           0.002251      0.025517         0.025516             0.012894            0.043154           0.017294       0.014158               0.001442     -0.015138  0.993781          0.995015   0.000480               0.001122      0.009015  0.388082          0.085378      0.002216        0.061261  -0.012299     -0.004092         0.001473                                        1.000000  0.052529  0.020597       0.016401
used_ocr                                        -0.001969     0.124330  -0.024469       0.042736   -0.073641          0.369492     0.084656    -0.096394     -0.018458          -0.137588     -0.079628        -0.079634             0.353211            0.280647          -0.018572      -0.080556               0.094036     -0.128043  0.053073          0.076448  -0.014673               0.008123      0.017895 -0.016982          0.118792      0.008682        0.020262  -0.094882      0.084245         0.036056                                        0.052529  1.000000 -0.165819      -0.180870
label                                           -0.120877    -0.490370  -0.057546      -0.762777   -0.287453         -0.766116    -0.143053    -0.216327     -0.001887          -0.301192     -0.268077        -0.268087            -0.156920           -0.793588          -0.070297      -0.287624              -0.055285     -0.296246  0.010424          0.027905  -0.032149              -0.064284     -0.011451 -0.049561          0.034316     -0.002584       -0.242810   0.207667     -0.072190         0.016120                                        0.020597 -0.165819  1.000000       0.735479
title_entropy                                   -0.010170    -0.296664  -0.021089      -0.522210   -0.174842         -0.564088    -0.000222    -0.142002      0.008436          -0.172955     -0.131706        -0.131729            -0.103821           -0.587578          -0.045507      -0.137473              -0.021901     -0.143773  0.010274          0.022855   0.008532               0.038904      0.020420 -0.043599          0.024464      0.007590       -0.139363   0.157718     -0.022798         0.010128                                        0.016401 -0.180870  0.735479       1.000000
