                                                file_size  title_chars  encrypted  metadata_size  page_count  valid_pdf_header  image_count  text_length  object_count  font_object_count  stream_count  endstream_count  average_stream_size  entropy_of_streams  name_obfuscations  total_filters  nested_filter_objects  objstm_count  js_count  javascript_count  uri_count  uses_nonstandard_port  action_count  aa_count  openaction_count  launch_count  acroform_count  xfa_count  colors_count  richmedia_count  has_multiple_behavioral_keywords_in_one_object  used_ocr     label  title_entropy
entropy_of_streams                               0.423277     0.601201   0.054501       0.597508    0.765068          0.746804     0.228610     0.729558      0.646805           0.550552      0.603821         0.603837             0.573009            1.000000           0.276052       0.609909               0.164211      0.207699  0.122854          0.107472   0.248091               0.042580      0.058062  0.082653          0.250333      0.014392        0.140383   0.026071      0.080466         0.002432                                        0.113809  0.117494 -0.652301      -0.388975
name_obfuscations                                0.431182     0.337678   0.026028       0.417536    0.364982          0.368273     0.166035     0.371564      0.463311           0.479748      0.475192         0.475190             0.263160            0.276052           1.000000       0.472613               0.001351      0.371947  0.064614          0.053501   0.178429              -0.012219      0.078584  0.188521          0.016829     -0.020596        0.408296  -0.098503      0.056249         0.006643                                        0.040724 -0.044522 -0.434589      -0.216579
total_filters                                    0.575517     0.612390   0.046383       0.727389    0.748084          0.737321     0.297997     0.763116      0.857006           0.714339      0.971503         0.971519             0.444344            0.609909           0.472613       1.000000               0.003673      0.498366  0.038417          0.024437   0.261664              -0.001198      0.026137  0.162476          0.041129      0.011087        0.441980   0.097040      0.152053        -0.000457                                        0.019952  0.022904 -0.702573      -0.379835
nested_filter_objects                            0.113533     0.094357   0.010235       0.023955    0.085954          0.209689     0.335177     0.067477      0.063146          -0.111402     -0.008157        -0.008155             0.311501            0.164211           0.001351       0.003673               1.000000     -0.110550  0.115690          0.116434  -0.058618              -0.017502      0.013988 -0.024418          0.070588     -0.017188       -0.088080  -0.057993     -0.047711        -0.004640                                        0.122178  0.441605 -0.151917      -0.108881
objstm_count                                     0.334019     0.319737  -0.011034       0.471294    0.356893          0.334839     0.057892     0.349133      0.519102           0.526251      0.492334         0.492324             0.106602            0.207699           0.371947       0.498366              -0.110550      1.000000 -0.051723         -0.065086   0.154637              -0.026194     -0.024323  0.098690         -0.113266     -0.012708        0.361681  -0.091391     -0.049857        -0.000821                                       -0.065283 -0.176894 -0.420259      -0.176291
js_count                                        -0.070846     0.252718   0.029501       0.146326    0.126335          0.265506    -0.049664     0.040901      0.098476           0.022391      0.088008         0.088001             0.122138            0.122854           0.064614       0.038417               0.115690     -0.051723  1.000000          0.948852  -0.052931              -0.001348      0.344421  0.254497          0.485766      0.129924        0.175300  -0.064433     -0.039517         0.030826                                        0.957591  0.349811  0.178451       0.121062
javascript_count                                -0.086665     0.251348   0.027811       0.142730    0.112502          0.258657    -0.073132     0.029971      0.086539           0.011335      0.075888         0.075880             0.107838            0.107472           0.053501       0.024437               0.116434     -0.065086  0.948852          1.000000  -0.063829              -0.005921      0.341170  0.238614          0.491699      0.133155        0.185992  -0.062530     -0.056180         0.039301                                        0.973361  0.351685  0.197126       0.122125
uri_count                                        0.237265     0.235307   0.098890       0.283770    0.255309          0.214857     0.061215     0.260728      0.288448           0.335869      0.257081         0.257075             0.185330            0.248091           0.178429       0.261664              -0.058618      0.154637 -0.052931         -0.063829   1.000000               0.009669      0.077567  0.012497          0.001164     -0.002140        0.010298  -0.058452     -0.040657        -0.004755                                       -0.061068 -0.118365 -0.269135      -0.122895
uses_nonstandard_port                           -0.055671     0.030844  -0.004398       0.067922    0.019335          0.053010    -0.007339    -0.000992     -0.007084           0.016970     -0.004168        -0.004167             0.006348            0.042580          -0.012219      -0.001198              -0.017502     -0.026194 -0.001348         -0.005921   0.009669               1.000000      0.009449  0.005469         -0.020460     -0.004345       -0.022074  -0.014661     -0.012337        -0.001173                                       -0.005732  0.008123 -0.064284       0.021143
action_count                                     0.047514     0.068180  -0.005596       0.005683    0.092888          0.127408    -0.018360     0.030354      0.070464           0.040223      0.055083         0.055087             0.110486            0.058062           0.078584       0.026137               0.013988     -0.024323  0.344421          0.341170   0.077567               0.009449      1.000000  0.287408          0.282181      0.350544        0.029094  -0.032120     -0.025967         0.052913                                        0.355160  0.172882  0.036727       0.030531
aa_count                                         0.139784     0.154737   0.064325       0.159137    0.112666          0.144613     0.060061     0.104548      0.164983           0.187986      0.172641         0.172653             0.089869            0.082653           0.188521       0.162476              -0.024418      0.098690  0.254497          0.238614   0.012497               0.005469      0.287408  1.000000          0.052769      0.281298        0.117851  -0.038629      0.030928        -0.003200                                        0.255137  0.007437 -0.130858      -0.049708
openaction_count                                -0.012597     0.167008   0.055009       0.120204    0.194165          0.245134    -0.092060     0.120361      0.103726           0.109938      0.062950         0.062955             0.142947            0.250333           0.016829       0.041129               0.070588     -0.113266  0.485766          0.491699   0.001164              -0.020460      0.282181  0.052769          1.000000      0.183486       -0.042538  -0.065174     -0.049832         0.025834                                        0.513935  0.129929  0.045420       0.027120
launch_count                                    -0.020523     0.068935  -0.004319       0.013321    0.017676          0.052058    -0.027849     0.000605      0.031588           0.032405      0.011901         0.011904            -0.005268            0.014392          -0.020596       0.011087              -0.017188     -0.012708  0.129924          0.133155  -0.002140              -0.004345      0.350544  0.281298          0.183486      1.000000       -0.033501  -0.014398     -0.012115        -0.001152                                        0.153230  0.103295  0.042245       0.022699
acroform_count                                   0.270940     0.301200   0.016783       0.364497    0.236188          0.408717     0.146129     0.298393      0.398135           0.237394      0.470351         0.470353             0.221020            0.140383           0.408296       0.441980              -0.088080      0.361681  0.175300          0.185992   0.010298              -0.022074      0.029094  0.117851         -0.042538     -0.033501        1.000000   0.371571      0.254945         0.003875                                        0.164199  0.086031 -0.202877      -0.099964
xfa_count                                       -0.070792    -0.032531  -0.007085      -0.038296    0.026281          0.175651    -0.104448     0.139723      0.014608          -0.146022      0.095524         0.095519             0.092991            0.026071          -0.098503       0.097040              -0.057993     -0.091391 -0.064433         -0.062530  -0.058452              -0.014661     -0.032120 -0.038629         -0.065174     -0.014398        0.371571   1.000000     -0.040879         0.024075                                       -0.062004 -0.095729  0.211519       0.131334
colors_count                                     0.155024     0.076505  -0.007906       0.047846    0.038123          0.147809     0.397484     0.045517      0.089973          -0.086689      0.155487         0.155491             0.167450            0.080466           0.056249       0.152053              -0.047711     -0.049857 -0.039517         -0.056180  -0.040657              -0.012337     -0.025967  0.030928         -0.049832     -0.012115        0.254945  -0.040879      1.000000        -0.003271                                       -0.053840  0.341788 -0.188882      -0.117118
richmedia_count                                  0.010318     0.003187  -0.001166      -0.006249    0.001762          0.014054    -0.002035    -0.004612      0.002254          -0.005759      0.002698         0.002698             0.019628            0.002432           0.006643      -0.000457              -0.004640     -0.000821  0.030826          0.039301  -0.004755              -0.001173      0.052913 -0.003200          0.025834     -0.001152        0.003875   0.024075     -0.003271         1.000000                                        0.031014  0.038037  0.017005       0.005220
has_multiple_behavioral_keywords_in_one_object  -0.093025     0.243023   0.033702       0.135531    0.112119          0.257016    -0.069222     0.029470      0.080460           0.009337      0.067797         0.067790             0.103660            0.113809           0.040724       0.019952               0.122178     -0.065283  0.957591          0.973361  -0.061068              -0.005732      0.355160  0.255137          0.513935      0.153230        0.164199  -0.062004     -0.053840         0.031014                                        1.000000  0.351084  0.204236       0.130478
used_ocr                                         0.097383     0.226297  -0.024469       0.065908    0.078622          0.369492     0.523838    -0.004664      0.054072          -0.303203      0.054679         0.054676             0.448952            0.117494          -0.044522       0.022904               0.441605     -0.176894  0.349811          0.351685  -0.118365               0.008123      0.172882  0.007437          0.129929      0.103295        0.086031  -0.095729      0.341788         0.038037                                        0.351084  1.000000 -0.165819      -0.140952
label                                           -0.613171    -0.616814  -0.057546      -0.699928   -0.711540         -0.766116    -0.461403    -0.680857     -0.714611          -0.653577     -0.693225        -0.693238            -0.625169           -0.652301          -0.434589      -0.702573              -0.151917     -0.420259  0.178451          0.197126  -0.269135              -0.064284      0.036727 -0.130858          0.045420      0.042245       -0.202877   0.211519     -0.188882         0.017005                                        0.204236 -0.165819  1.000000       0.585083
title_entropy                                   -0.330029    -0.335019  -0.004340      -0.391306   -0.427589         -0.445895    -0.233476    -0.406685     -0.392354          -0.336880     -0.375508        -0.375523            -0.362642           -0.388975          -0.216579      -0.379835              -0.108881     -0.176291  0.121062          0.122125  -0.122895               0.021143      0.030531 -0.049708          0.027120      0.022699       -0.099964   0.131334     -0.117118         0.005220                                        0.130478 -0.140952  0.585083       1.000000
